epoch,loss,train_accuracy
0,1.3819320160192097,0.5166666666666667
1,1.2545158290830332,0.5333333333333333
2,1.125346583564043,0.5583333333333333
3,1.0033622620507028,0.6416666666666667
4,0.936172924775016,0.6583333333333333
5,0.8920192451266407,0.7083333333333334
6,0.8380652678493178,0.7416666666666667
7,0.7800326475606456,0.7583333333333333
8,0.7293542056825885,0.775
9,0.6895845442307674,0.8
10,0.6564456810591046,0.8166666666666667
11,0.6280996822800766,0.8333333333333334
12,0.6071745587237947,0.8166666666666667
13,0.5959404532986281,0.8
14,0.5916917952549952,0.825
15,0.5871929961196123,0.8416666666666667
16,0.5760273028807442,0.8416666666666667
17,0.5563491446110601,0.85
18,0.5303224623494006,0.85
19,0.5017960403966372,0.8666666666666667
20,0.4742192922976494,0.8916666666666667
21,0.44938254778845454,0.9
22,0.4273558392838283,0.925
23,0.4075391120826524,0.9166666666666666
24,0.38983192528741706,0.925
25,0.3750730256848907,0.9333333333333333
26,0.36456620816564855,0.925
27,0.35905034131039365,0.925
28,0.35794161838701477,0.9166666666666666
29,0.3594707919562951,0.9
30,0.3613717844262968,0.9
31,0.3615569912069197,0.9
32,0.3586474036192843,0.9
33,0.35229742682677856,0.9333333333333333
34,0.34321605199466976,0.9583333333333334
35,0.33281904572639814,0.9666666666666667
36,0.3225493650499557,0.9583333333333334
37,0.3131864660392783,0.9583333333333334
38,0.30468130110788894,0.9333333333333333
39,0.2966553657121959,0.9166666666666666
40,0.2890222770355719,0.9166666666666666
41,0.28215179095097487,0.8916666666666667
42,0.276557251435554,0.8916666666666667
43,0.27251036252250954,0.8916666666666667
44,0.26988391194044775,0.8916666666666667
45,0.2682360488747753,0.8916666666666667
46,0.2670332656535013,0.9
47,0.265892493549799,0.9083333333333333
48,0.2647083032961983,0.9
49,0.26359631840793196,0.9
50,0.26271526430199343,0.9083333333333333
51,0.262097953267962,0.9083333333333333
52,0.2615928824877124,0.9166666666666666
53,0.26094305024975645,0.9166666666666666
54,0.2599413625011354,0.9166666666666666
55,0.25854439691687897,0.925
56,0.2568600212322909,0.9333333333333333
57,0.2550367600578774,0.9333333333333333
58,0.2531608235407781,0.9333333333333333
59,0.2512351919804214,0.9416666666666667
