iteration,expectation,objective,params
58,3.998840752279344,-3.998840752279344,0.8814658602 1.1306150894 0.5653254839 0.4448699697
59,3.99892264144618,-3.99892264144618,0.8806405125 1.1277751530 0.5645554323 0.4443976532
60,3.9990611739092063,-3.9990611739092063,0.8815486384 1.1275311155 0.5635411701 0.4449781921
61,3.999160561700144,-3.999160561700144,0.8823433749 1.1268595841 0.5630973495 0.4459633127
62,3.9992519093651775,-3.9992519093651775,0.8831009577 1.1265162214 0.5618557840 0.4460924854
63,3.9993285793182825,-3.9993285793182825,0.8842307871 1.1255523610 0.5616717223 0.4459896274
64,3.9993849122077783,-3.9993849122077783,0.8847448831 1.1246328245 0.5608052954 0.4466136967
65,3.9994549304445846,-3.9994549304445846,0.8860533924 1.1251264504 0.5605597564 0.4470972744
66,3.9994798297079934,-3.9994798297079934,0.8872125419 1.1250144882 0.5597048396 0.4466935986
67,3.9995688567823624,-3.9995688567823624,0.8882337157 1.1244899408 0.5602051384 0.4475192833
68,3.999671565830303,-3.999671565830303,0.8901438331 1.1239952052 0.5604307754 0.4497677886
69,3.9997512993281017,-3.9997512993281017,0.8920522306 1.1219214687 0.5611880423 0.4490719562
70,3.9998475851601665,-3.9998475851601665,0.8946516236 1.1215146535 0.5598046493 0.4494767782
71,3.9998751781727178,-3.9998751781727178,0.8970373784 1.1227226726 0.5611609273 0.4493799601
72,3.999939857396398,-3.999939857396398,0.8990743899 1.1210762972 0.5606653105 0.4507563308
73,3.9999435326184285,-3.9999435326184285,0.9011830606 1.1200560530 0.5593056524 0.4494663930
74,3.999946459916837,-3.999946459916837,0.9016379028 1.1207034076 0.5585116536 0.4504631962
75,3.999966495714441,-3.999966495714441,0.9019104754 1.1203959449 0.5587749190 0.4508122838
76,3.9999890924604022,-3.9999890924604022,0.9022723757 1.1196017431 0.5591359081 0.4515525262
77,3.999990048433637,-3.999990048433637,0.9030743447 1.1199227175 0.5599576226 0.4516889313
78,3.9999914439223248,-3.9999914439223248,0.9032177196 1.1195891255 0.5599026072 0.4521634134
79,3.9999914196403856,-3.9999914196403856,0.9033130549 1.1191126316 0.5600601261 0.4518486872
80,3.999994568426176,-3.999994568426176,0.9034272460 1.1196113783 0.5597012126 0.4520923944
81,3.999996470434033,-3.999996470434033,0.9038915482 1.1195999189 0.5593223371 0.4520650906
82,3.9999946053768562,-3.9999946053768562,0.9040672879 1.1196142689 0.5591384039 0.4526083016
83,3.9999956039394604,-3.9999956039394604,0.9040703822 1.1197077970 0.5595373587 0.4520771914
84,3.999989192964717,-3.999989192964717,0.9038459861 1.1199241908 0.5589541143 0.4517227694
85,3.9999979850949114,-3.9999979850949114,0.9039627224 1.1193145166 0.5593576883 0.4520178667
86,3.9999976669739867,-3.9999976669739867,0.9040240345 1.1191276883 0.5592440473 0.4518218521
87,3.999997905809626,-3.999997905809626,0.9039147542 1.1193142800 0.5593999116 0.4519786088
88,3.999998446251181,-3.999998446251181,0.9039231672 1.1192111534 0.5593765726 0.4521173394
89,3.9999984249426745,-3.9999984249426745,0.9040126035 1.1191649468 0.5594824964 0.4521511955
90,3.9999983521950764,-3.9999983521950764,0.9039165738 1.1192324887 0.5593857558 0.4521351439
91,3.9999986303571937,-3.9999986303571937,0.9039181724 1.1191569036 0.5593523498 0.4521240670
92,3.99999877953604,-3.99999877953604,0.9039123740 1.1191039293 0.5593305743 0.4521409767
93,3.9999988132536806,-3.9999988132536806,0.9038740362 1.1190732395 0.5593556712 0.4521173443
94,3.999998924070577,-3.999998924070577,0.9038692826 1.1190229992 0.5593348587 0.4521422472
95,3.9999990220706048,-3.9999990220706048,0.9038878537 1.1189854639 0.5593063440 0.4521101050
96,3.999999041739633,-3.999999041739633,0.9038768523 1.1189405695 0.5592682251 0.4521068794
97,3.9999992018150454,-3.9999992018150454,0.9039128631 1.1189021896 0.5592966085 0.4521118385
98,3.999999271916825,-3.999999271916825,0.9039275097 1.1188650070 0.5593298469 0.4520818696
99,3.999999370109125,-3.999999370109125,0.9039509238 1.1188208731 0.5593377462 0.4521141431
100,3.9999994379112107,-3.9999994379112107,0.9039633890 1.1187630031 0.5593279846 0.4521147690
101,3.9999995151670924,-3.9999995151670924,0.9040223947 1.1187649927 0.5593197385 0.4521079594
102,3.9999995861394884,-3.9999995861394884,0.9040675857 1.1187356889 0.5593426032 0.4521212364
103,3.999999635574586,-3.999999635574586,0.9041015373 1.1186947164 0.5593238666 0.4521008041
104,3.999999705683157,-3.999999705683157,0.9041302682 1.1186850197 0.5592949163 0.4521437272
105,3.999999773014738,-3.999999773014738,0.9041847003 1.1186746000 0.5592866222 0.4521651698
106,3.9999998439681845,-3.9999998439681845,0.9042374264 1.1185923793 0.5592797570 0.4522345425
107,3.999999815101769,-3.999999815101769,0.9043148574 1.1185954028 0.5591895200 0.4522504351
108,3.9999998220834785,-3.9999998220834785,0.9042308702 1.1186087233 0.5592789541 0.4522588169
109,3.9999998559644627,-3.9999998559644627,0.9042786857 1.1185860137 0.5593222273 0.4522272328
110,3.999999823528197,-3.999999823528197,0.9042739098 1.1185277629 0.5593315126 0.4522173423
111,3.9999998361869613,-3.9999998361869613,0.9042882403 1.1185817350 0.5593292868 0.4522544461
112,3.9999998500385257,-3.9999998500385257,0.9042927216 1.1186239094 0.5593377939 0.4521857046
113,3.999999799280068,-3.999999799280068,0.9042634036 1.1185898805 0.5593466227 0.4522347408
114,3.9999999163794033,-3.9999999163794033,0.9043303186 1.1185885337 0.5592945938 0.4522400422
115,3.9999999433771336,-3.9999999433771336,0.9043756880 1.1185912047 0.5592562817 0.4522318770
116,3.999999958117056,-3.999999958117056,0.9044174533 1.1186043545 0.5592729264 0.4522693697
117,3.9999999545241427,-3.9999999545241427,0.9044634492 1.1186109969 0.5592371799 0.4522566245
118,3.9999999669955493,-3.9999999669955493,0.9044283901 1.1185825571 0.5592867557 0.4522586921
119,3.999999957766498,-3.999999957766498,0.9044312365 1.1185376313 0.5592735825 0.4522961091
120,3.999999916236375,-3.999999916236375,0.9044565960 1.1185858817 0.5593388230 0.4522496166
