qubits,time_s,mem_gb
2.000000000000000000e+00 1.799999998183920979e-03 5.960464477539062500e-08
4.000000000000000000e+00 2.899800019804388285e-03 2.384185791015625000e-07
6.000000000000000000e+00 4.131900001084432006e-03 9.536743164062500000e-07
8.000000000000000000e+00 6.701400008751079440e-03 3.814697265625000000e-06
1.000000000000000000e+01 7.049499981803819537e-03 1.525878906250000000e-05
1.200000000000000000e+01 1.015200000256299973e-02 6.103515625000000000e-05
1.400000000000000000e+01 2.231480000773444772e-02 2.441406250000000000e-04
1.600000000000000000e+01 3.311779999930877239e-01 9.765625000000000000e-04
1.800000000000000000e+01 1.171390000003157184e+00 3.906250000000000000e-03
2.000000000000000000e+01 5.811020900000585243e+00 1.562500000000000000e-02
2.200000000000000000e+01 1.993433150000055321e+01 6.250000000000000000e-02
